necropsy_ID,animal_ID,sex_bin,sex,weight_kg,birth_date,age_yrs,age_class_bin,age_class,hurricanes_exp,group_bin,group,collection_season,sample_date,date_numeric,tt_present,ps_present,coinfection_ratio,infant_present,L.adrenal_wt,R.adrenal_wt_g,r_ad_kg,L_adrenal_wt_adjusted,r_adrenal_bw_scaled_kg,r_adrenal_adj_g,spleen_wt,sp_kg,spleen_wt_adjusted_kg,spleen_wt_ad_g,comments,WBC 10^9/l,LYM 10^9/l,MON 10^9/l,NEU 10^9/l,LYM% %,MON% %,NEU% %,RBC 10^12/l,HGB g/dl,HCT %,MCV fl,MCH pg,RDWs fl,PLT 10^9/l,PCT %,MPV fl,PDWs fl,PDWc %
N21067,I223X2,1,f,1.24,2021-05-22,0.4764,0,infant,neither,0,F,2021,2021-11-12,"44,512.00",1,0,0,no,0.2,0.18,0.0001800,0.0016,0.0001,0.1452,1.81,0.00181,0.0015,1.4597,,7.16,0.11,2.31,4.74,1.5,32.3,66.2,6.14,13.5,47.02,1900-03-17,22,45.3,420,0.32,7.7,10.7,33.4
N21079,I229W5,1,f,0.72,2021-08-10,0.2738,0,infant,neither,0,F,2021,2021-11-18,"44,518.00",1,0,0,no,0.1,0.1,0.0001000,0.0014,0.0001,0.1389,1,0.001,0.0014,1.3889,,6.9,4.3,0.07,2.52,62.3,1.1,36.6,5.2,10.8,35.94,1900-03-09,20.8,39.8,241,0.29,12,20.6,40.6
N21070,BF0,1,f,2.86,2019-07-13,2.3463,1,juvenile,neither,0,F,2021,2021-11-16,"44,516.00",1,20,1,no,0.4,0.31,0.0003100,0.0014,0.0001,0.1084,3.34,0.00334,0.0012,1.1678,,10.28,3.39,0.06,6.83,33,0.6,66.4,5.52,11.2,38.45,1900-03-10,20.2,43.8,223,0.2,8.8,14.5,37.4
N21068,AV6,0,m,5.72,2018-06-13,3.4278,1,juvenile,neither,0,F,2021,2021-11-16,"44,516.00",1,61,1,no,0.41,0.41,0.0004100,0.0007,0.0001,0.0717,7.74,0.00774,0.0014,1.3531,,13.84,0.25,2.11,11.48,1.8,15.2,83,6.16,13.6,45.06,1900-03-13,22.1,46.1,476,0.44,9.2,13.7,36.7
N21071,AI7,1,f,4.58,2018-08-22,3.2361,1,juvenile,neither,0,F,2021,2021-11-16,"44,516.00",3,1,1,no,0.54,0.54,0.0005400,0.0012,0.0001,0.1179,6.71,0.00671,0.0015,1.4651,,10.71,0.14,3.95,6.63,1.3,36.9,61.8,5.19,11.6,37.36,1900-03-12,22.3,44.5,322,0.28,8.8,13.4,36.4
N21069,BE4,0,m,3.76,2019-06-08,2.4422,1,juvenile,neither,0,F,2021,2021-11-16,"44,516.00",3,10,1,no,0.6,0.41,0.0004100,0.0016,0.0001,0.1090,4.12,0.00412,0.0011,1.0957,,8.91,0.1,2.29,6.52,1.2,25.7,73.2,5.77,12.2,40.27,1900-03-10,21.1,45.3,320,0.31,9.8,14.5,36.5
N21077,AI8,0,m,5.5,2018-07-23,3.3238,1,juvenile,neither,0,F,2021,2021-11-18,"44,518.00",3,30,1,no,0.41,0.31,0.0003100,0.0007,0.0001,0.0564,6.7,0.0067,0.0012,1.2182,,13.86,0.24,3.27,10.34,1.8,23.6,74.6,5.76,13.4,43.68,1900-03-16,23.3,46.1,423,0.32,7.6,11,34.8
N21072,AX8,0,m,4.44,2018-07-13,3.3457,1,juvenile,neither,4,R,2021,2021-11-16,"44,516.00",5,11,1,no,0.3,0.32,0.0003200,0.0007,0.0001,0.0721,7.01,0.00701,0.0016,1.5788,,11.28,0.24,2.9,8.13,2.2,25.7,72.1,6.41,14.8,46.14,1900-03-12,23,44.5,331,0.3,9,14.5,37.4
N21081,AY5,0,m,4.88,2018-06-22,3.4497,1,juvenile,neither,1,V,2021,2021-12-03,"44,533.00",7,4,1,no,0.41,0.54,0.0005400,0.0008,0.0001,0.1107,9.1,0.0091,0.0019,1.8648,"Ps counted from one lobe, data mulitplied by 4 to yieldeneral representation of total amount presnet across all 4 lung lobes",18.3,7.23,0.24,10.83,39.5,1.3,59.2,5.33,12,41,1900-03-17,22.6,45.3,448,0.45,10,16.5,38.9
N21089,BW6,0,m,3.2,2019-09-11,2.245,1,juvenile,neither,1,V,2021,2021-12-09,"44,539.00",8,94,1,no,0.3,0.4,0.0004000,0.0009,0.0001,0.1250,2.5,0.0025,0.0008,0.7813,,10.78,0.31,1.92,8.55,2.9,17.8,79.3,5.23,11.9,40.1,1900-03-17,22.7,46.1,328,0.36,11,18.9,40.5
N21084,BX0,0,m,4.26,2018-09-10,3.2444,1,juvenile,neither,1,V,2021,2021-12-08,"44,538.00",9,60,1,no,NA,0.22,0.0002200,NA,0.0001,0.0516,4.14,0.00414,0.0010,0.9718,,8.41,3.5,0.17,4.74,41.6,2,56.4,5.73,12.1,43.4,1900-03-16,21.1,48.4,337,0.28,8.3,11.2,33.1
N21062,BI6,0,m,2.62,2019-10-01,2.1081,1,juvenile,neither,0,F,2021,2021-11-09,"44,509.00",12,19,1,no,0.41,0.3,0.0003000,0.0016,0.0001,0.1145,3.4,0.0034,0.0013,1.2977,,10.34,4.3,0.06,5.98,41.6,0.6,57.9,5.26,11.3,38.66,1900-03-13,21.5,44.5,450,0.38,8.5,10.4,34.2
N21082,AX9,1,f,3.83,2018-07-06,3.4114,1,juvenile,neither,1,V,2021,2021-12-03,"44,533.00",15,0,0,no,0.44,0.3,0.0003000,0.0011,0.0001,0.0783,4.21,0.00421,0.0011,1.0992,"Ps counted from one lobe, data mulitplied by 4 to yieldeneral representation of total amount presnet across all 4 lung lobes",21.21,0.36,3.77,17.08,1.7,17.8,80.5,4.92,12.2,37.6,1900-03-16,24.7,48.4,438,0.39,8.8,14,36.9
N21083,BX1,0,m,3.5,2019-05-25,2.527,1,juvenile,neither,1,V,2021,2021-12-03,"44,533.00",18,28,1,no,0.44,0.5,0.0005000,0.0013,0.0001,0.1429,2.9,0.0029,0.0008,0.8286,"Ps counted from one lobe, data mulitplied by 4 to yieldeneral representation of total amount presnet across all 4 lung lobes",10.52,0.38,2.71,7.43,3.6,25.8,70.7,5.4,12.7,41.05,1900-03-16,23.4,50,551,0.52,9.4,14.3,37.2
N21085,BT6,0,m,2.98,2019-06-17,2.4778,1,juvenile,neither,1,V,2021,2021-12-08,"44,538.00",18,36,1,no,0.41,0.24,0.0002400,0.0014,0.0001,0.0805,3.81,0.00381,0.0013,1.2785,,13.82,0.19,4.08,9.55,1.3,29.5,69.1,5.03,11.4,38.82,1900-03-17,22.6,45.3,423,0.41,9.7,15.6,38.3
N21090,BT8,0,m,4.26,2019-08-24,2.2971,1,juvenile,neither,1,V,2021,2021-12-10,"44,540.00",91,19,1,no,0.3,0.25,0.0002500,0.0007,0.0001,0.0587,3.61,0.00361,0.0008,0.8474,,10.08,0.14,1.84,8.09,1.4,18.3,80.3,5.34,11.7,39.13,1900-03-13,21.8,46.1,330,0.33,10.1,16.2,37.8
